User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities,Hobbies,Favorite_Music,Ideal_First_Date,Relationship_Type
122,24,Non-binary,Bangalore,Postgraduate,Intern,,OkCupid,Monthly,30 minutes,Casual Dating,4,Safety Concerns,Detailed Profiles,Video Calls,Personality > Interests > Values,"Dancing, Traveling",Indie,Dance Class,Casual
123,19,Non-binary,Bangalore,Graduate,Intern,Bumble,Bumble,Monthly,1.5 hours,Casual Fun,3,Safety Concerns,Detailed Profiles,Video Calls,Values > Personality > Appearance,"Photography, Hiking",R&B,Photography Walk,Long-term
124,20,Non-binary,Bangalore,Undergraduate,Intern,Hinge,Tinder,Monthly,2 hours,Casual Fun,4,Time-Wasting,Location-Based Matching,Text,Appearance > Interests > Personality,"Cooking, Sports",Pop,Bowling Night,Casual
125,18,Non-binary,Delhi,Postgraduate,Freelancer,Tinder,Tinder,Daily,1.5 hours,Finding a Partner,3,Time-Wasting,Video Calls,Video Calls,Values > Personality > Appearance,"Reading, Music",Jazz,Coffee Tasting,Long-term
126,21,Male,Chennai,Graduate,Part-time Job,OkCupid,Hinge,Monthly,30 minutes,Finding a Partner,5,Safety Concerns,Location-Based Matching,Text,Values > Personality > Appearance,"Traveling, Crafting",Folk,Pottery Class,Casual
127,22,Female,Mumbai,Postgraduate,Student,Hinge,,Monthly,3 hours,Finding a Partner,3,Safety Concerns,Detailed Profiles,Text,Personality > Interests > Values,"Gaming, Hiking",Indie,Rock Climbing,Long-term
128,24,Male,Pune,Postgraduate,Student,Hinge,,Weekly,1 hour,Finding a Partner,2,Time-Wasting,Detailed Profiles,Video Calls,Values > Personality > Appearance,"Photography, Cooking",Rock,Dinner Cruise,Casual
129,25,Female,Mumbai,Postgraduate,Student,,Hinge,Monthly,1 hour,Casual Dating,1,Safety Concerns,Audio Calls,Video Calls,Personality > Interests > Values,"Fitness, Writing",Classical,Yoga Retreat,Long-term
130,23,Male,Mumbai,Postgraduate,Freelancer,Hinge,Hinge,Monthly,30 minutes,Casual Dating,4,Time-Wasting,Video Calls,Text,Appearance > Interests > Personality,"Dancing, Traveling",Pop,Dance Show,Casual
131,20,Female,Chennai,Graduate,Part-time Job,Bumble,,Daily,2 hours,Finding a Partner,4,,Video Calls,Video Calls,Appearance > Interests > Personality,"Cooking, Reading",R&B,Candlelit Dinner,Long-term
132,24,Non-binary,Bangalore,Graduate,Part-time Job,Bumble,OkCupid,Monthly,1.5 hours,Finding a Partner,1,Lack of Genuine Matches,Video Calls,Video Calls,Appearance > Interests > Personality,"Traveling, Sports",Country,Sports Game,Casual
133,25,Non-binary,Pune,Postgraduate,Intern,Bumble,Bumble,Monthly,30 minutes,Finding a Partner,2,Time-Wasting,Video Calls,Video Calls,Personality > Interests > Values,"Gaming, Music",EDM,Music Festival,Long-term
134,25,Female,Pune,Postgraduate,Part-time Job,,,Daily,1.5 hours,Casual Fun,3,Time-Wasting,Location-Based Matching,Voice Notes,Personality > Interests > Values,"Photography, Fitness",Jazz,Fitness Class,Casual
135,20,Female,Kolkata,Graduate,Intern,Hinge,Bumble,Daily,1 hour,Finding a Partner,4,Time-Wasting,Detailed Profiles,Text,Appearance > Interests > Personality,"Cooking, Hiking",Indie,Nature Cookout,Long-term
136,24,Male,Kolkata,Undergraduate,Student,Bumble,Bumble,Daily,1 hour,Finding a Partner,2,Lack of Genuine Matches,Location-Based Matching,Text,Personality > Interests > Values,"Reading, Dancing",Alternative,Theater Show,Casual
137,18,Female,Chennai,Undergraduate,Part-time Job,Bumble,,Daily,3 hours,Casual Dating,5,Time-Wasting,Video Calls,Text,Appearance > Interests > Personality,"Traveling, Art",Classical,Art Walk,Long-term
138,18,Female,Bangalore,Undergraduate,Full-time Job,,OkCupid,Monthly,30 minutes,Casual Dating,4,Lack of Genuine Matches,Location-Based Matching,Text,Values > Personality > Appearance,"Fitness, Movies",Pop,Outdoor Movie Night,Casual
139,23,Non-binary,Delhi,Undergraduate,Student,OkCupid,,Weekly,3 hours,Casual Dating,5,,Detailed Profiles,Video Calls,Personality > Interests > Values,"Hiking, Photography",R&B,Scenic Drive,Long-term
140,18,Male,Chennai,Postgraduate,Student,Tinder,Hinge,Monthly,1 hour,Finding a Partner,1,Time-Wasting,Location-Based Matching,Voice Notes,Values > Personality > Appearance,"Gaming, Cooking",EDM,Game Night,Casual
141,19,Non-binary,Bangalore,Undergraduate,Part-time Job,,,Daily,1.5 hours,Casual Dating,1,,Audio Calls,Text,Appearance > Interests > Personality,"Reading, Traveling",Indie,Coffee Tasting,Long-term
142,22,Male,Pune,Postgraduate,Intern,,OkCupid,Monthly,1 hour,Social Interaction,3,Time-Wasting,Audio Calls,Video Calls,Values > Personality > Appearance,"Dancing, Sports",Pop,Dance Party,Casual
143,19,Male,Mumbai,Graduate,Freelancer,OkCupid,Hinge,Daily,30 minutes,Finding a Partner,3,Lack of Genuine Matches,Audio Calls,Text,Personality > Interests > Values,"Cooking, Fitness",Rock,Healthy Cooking Class,Long-term
144,22,Female,Hyderabad,Undergraduate,Freelancer,OkCupid,,Weekly,3 hours,Finding a Partner,3,Time-Wasting,Location-Based Matching,Video Calls,Values > Personality > Appearance,"Traveling, Writing",Jazz,Book Reading,Casual
145,24,Male,Chennai,Undergraduate,Freelancer,Tinder,OkCupid,Monthly,3 hours,Social Interaction,3,Lack of Genuine Matches,Detailed Profiles,Video Calls,Personality > Interests > Values,"Photography, Hiking",Alternative,Photo Shoot,Long-term
146,18,Non-binary,Kolkata,Postgraduate,Full-time Job,Hinge,Bumble,Weekly,2 hours,Casual Dating,5,Lack of Genuine Matches,AI Recommendations,Voice Notes,Values > Personality > Appearance,"Cooking, Movies",Indie,Movie Marathon,Casual
147,23,Non-binary,Hyderabad,Graduate,Full-time Job,Hinge,Tinder,Weekly,30 minutes,Casual Fun,5,Safety Concerns,Location-Based Matching,Voice Notes,Values > Personality > Appearance,"Traveling, Art",Country,Art Museum Visit,Long-term
148,23,Female,Delhi,Undergraduate,Student,,Bumble,Daily,3 hours,Social Interaction,5,Safety Concerns,Audio Calls,Text,Appearance > Interests > Personality,"Gaming, Fitness",Hip-Hop,Fitness Challenge,Casual
149,22,Female,Bangalore,Graduate,Full-time Job,Hinge,Bumble,Monthly,1.5 hours,Casual Dating,5,,Audio Calls,Text,Appearance > Interests > Personality,"Reading, Dancing",R&B,Dance Class,Long-term
150,19,Female,Hyderabad,Undergraduate,Student,Tinder,Hinge,Weekly,2 hours,Social Interaction,1,Lack of Genuine Matches,AI Recommendations,Voice Notes,Values > Personality > Appearance,"Cooking, Sports",Pop,Cooking Competition,Casual
151,19,Male,Mumbai,Undergraduate,Intern,OkCupid,Hinge,Monthly,3 hours,Social Interaction,2,Time-Wasting,Audio Calls,Video Calls,Values > Personality > Appearance,"Traveling, Music",Classical,Symphony Concert,Long-term
152,18,Non-binary,Pune,Graduate,Freelancer,Bumble,Hinge,Daily,30 minutes,Social Interaction,2,Lack of Genuine Matches,Detailed Profiles,Voice Notes,Appearance > Interests > Personality,"Fitness, Hiking",EDM,Outdoor Concert,Casual
153,24,Female,Hyderabad,Graduate,Part-time Job,Tinder,Bumble,Monthly,3 hours,Casual Fun,3,Lack of Genuine Matches,Audio Calls,Voice Notes,Personality > Interests > Values,"Dancing, Photography",Jazz,Photo Booth Fun,Long-term
154,23,Male,Delhi,Undergraduate,Freelancer,Hinge,Bumble,Monthly,2 hours,Casual Dating,5,,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,"Cooking, Games",Indie,Board Game Night,Casual
155,18,Female,Bangalore,Graduate,Freelancer,Bumble,Hinge,Weekly,30 minutes,Casual Fun,4,Lack of Genuine Matches,Video Calls,Text,Personality > Interests > Values,"Traveling, Sports",Rock,Adventure Sports,Long-term
156,18,Non-binary,Pune,Graduate,Freelancer,Tinder,Bumble,Monthly,1 hour,Social Interaction,3,Time-Wasting,Location-Based Matching,Video Calls,Appearance > Interests > Personality,"Gaming, Crafting",Alternative,Craft Night,Casual
157,22,Female,Hyderabad,Graduate,Full-time Job,Hinge,Tinder,Monthly,1.5 hours,Social Interaction,3,,Location-Based Matching,Text,Values > Personality > Appearance,"Reading, Traveling",Country,Travel Show,Long-term
158,25,Non-binary,Hyderabad,Undergraduate,Part-time Job,OkCupid,Hinge,Daily,3 hours,Social Interaction,3,,AI Recommendations,Video Calls,Appearance > Interests > Personality,"Dancing, Fitness",Pop,Fitness Dance Class,Casual
159,22,Non-binary,Chennai,Graduate,Student,OkCupid,OkCupid,Weekly,2 hours,Finding a Partner,5,Lack of Genuine Matches,AI Recommendations,Video Calls,Personality > Interests > Values,"Cooking, Photography",Indie,Food Photography,Long-term
160,24,Male,Hyderabad,Postgraduate,Intern,Bumble,Bumble,Weekly,1 hour,Social Interaction,2,Safety Concerns,Audio Calls,Video Calls,Personality > Interests > Values,"Traveling, Art",Folk,Art Fair,Casual
161,23,Non-binary,Bangalore,Graduate,Part-time Job,Bumble,OkCupid,Daily,3 hours,Social Interaction,1,,AI Recommendations,Voice Notes,Appearance > Interests > Personality,"Photography, Hiking",Indie,Nature Photography,Long-term
162,23,Female,Kolkata,Undergraduate,Full-time Job,Bumble,Hinge,Monthly,1.5 hours,Social Interaction,2,Time-Wasting,Audio Calls,Voice Notes,Values > Personality > Appearance,"Cooking, Sports",Jazz,Cooking for Two,Casual
163,23,Female,Kolkata,Graduate,Freelancer,Tinder,Bumble,Weekly,3 hours,Casual Fun,5,Time-Wasting,Video Calls,Video Calls,Personality > Interests > Values,"Gaming, Writing",Rock,Storytelling Night,Long-term
164,24,Non-binary,Pune,Graduate,Full-time Job,OkCupid,OkCupid,Daily,3 hours,Casual Dating,1,Lack of Genuine Matches,Video Calls,Voice Notes,Personality > Interests > Values,"Reading, Traveling",EDM,Destination Dinner,Casual
165,18,Female,Bangalore,Postgraduate,Part-time Job,,Bumble,Weekly,1 hour,Casual Fun,1,Safety Concerns,Audio Calls,Text,Appearance > Interests > Personality,"Dancing, Fitness",R&B,Fitness Challenge,Long-term
166,19,Male,Hyderabad,Postgraduate,Freelancer,Hinge,Tinder,Weekly,1 hour,Social Interaction,5,Lack of Genuine Matches,Audio Calls,Video Calls,Values > Personality > Appearance,"Cooking, Movies",Country,Dinner and a Movie,Casual
167,21,Female,Hyderabad,Undergraduate,Full-time Job,Bumble,,Daily,3 hours,Finding a Partner,1,,Detailed Profiles,Voice Notes,Appearance > Interests > Personality,"Traveling, Sports",Pop,Outdoor Adventure,Long-term
168,21,Non-binary,Bangalore,Postgraduate,Part-time Job,OkCupid,Hinge,Monthly,3 hours,Casual Fun,3,,Location-Based Matching,Video Calls,Personality > Interests > Values,"Photography, Crafting",Indie,Craft Workshop,Casual
169,22,Non-binary,Bangalore,Undergraduate,Freelancer,Hinge,OkCupid,Daily,30 minutes,Social Interaction,4,Lack of Genuine Matches,Detailed Profiles,Video Calls,Appearance > Interests > Personality,"Cooking, Hiking",Rock,Nature Cookout,Long-term
170,24,Male,Delhi,Graduate,Full-time Job,OkCupid,Hinge,Monthly,2 hours,Social Interaction,1,Lack of Genuine Matches,Detailed Profiles,Voice Notes,Personality > Interests > Values,"Reading, Gaming",Jazz,Game Night,Casual
171,21,Non-binary,Delhi,Graduate,Intern,Bumble,Bumble,Monthly,2 hours,Casual Dating,1,,AI Recommendations,Video Calls,Personality > Interests > Values,"Traveling, Fitness",Pop,Adventure Hiking,Long-term
172,19,Female,Chennai,Undergraduate,Part-time Job,Hinge,Bumble,Monthly,30 minutes,Finding a Partner,3,Lack of Genuine Matches,Audio Calls,Text,Values > Personality > Appearance,"Dancing, Photography",R&B,Dance Showcase,Casual
173,21,Non-binary,Delhi,Undergraduate,Part-time Job,Tinder,Tinder,Daily,30 minutes,Casual Fun,1,Safety Concerns,Video Calls,Text,Appearance > Interests > Personality,"Cooking, Movies",Indie,Film Festival,Long-term
174,23,Male,Mumbai,Postgraduate,Intern,OkCupid,Hinge,Weekly,2 hours,Casual Fun,1,,Video Calls,Video Calls,Values > Personality > Appearance,"Traveling, Writing",Classical,Poetry Reading,Casual
175,19,Non-binary,Kolkata,Postgraduate,Full-time Job,Bumble,Bumble,Monthly,30 minutes,Casual Dating,2,Time-Wasting,Video Calls,Voice Notes,Personality > Interests > Values,"Gaming, Sports",Hip-Hop,Game Day,Long-term
176,24,Male,Bangalore,Graduate,Student,OkCupid,Hinge,Daily,1.5 hours,Social Interaction,1,Safety Concerns,Detailed Profiles,Text,Personality > Interests > Values,"Reading, Traveling",EDM,Travel Vlog Night,Casual
177,24,Male,Mumbai,Graduate,Freelancer,,,Daily,2 hours,Finding a Partner,1,Time-Wasting,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,"Dancing, Fitness",Rock,Zumba Class,Long-term
178,18,Male,Delhi,Graduate,Part-time Job,Hinge,Bumble,Weekly,1 hour,Casual Fun,1,,AI Recommendations,Video Calls,Values > Personality > Appearance,"Cooking, Photography",Alternative,Food Photography,Casual
179,21,Female,Kolkata,Postgraduate,Part-time Job,OkCupid,OkCupid,Monthly,1.5 hours,Casual Fun,2,,Location-Based Matching,Video Calls,Values > Personality > Appearance,"Traveling, Art",Country,Art Class,Long-term
180,20,Non-binary,Hyderabad,Undergraduate,Full-time Job,Tinder,Tinder,Daily,1 hour,Finding a Partner,4,,AI Recommendations,Video Calls,Personality > Interests > Values,"Fitness, Hiking",Pop,Yoga in the Park,Casual
181,21,Male,Bangalore,Postgraduate,Student,Bumble,OkCupid,Weekly,1 hour,Casual Fun,1,Time-Wasting,Detailed Profiles,Video Calls,Values > Personality > Appearance,"Reading, Sports",Jazz,Sports Event,Long-term
182,22,Non-binary,Pune,Graduate,Student,,OkCupid,Weekly,30 minutes,Casual Dating,4,Safety Concerns,Detailed Profiles,Text,Values > Personality > Appearance,"Gaming, Dancing",Indie,Dance Off,Casual
183,21,Male,Kolkata,Undergraduate,Part-time Job,Hinge,Tinder,Daily,30 minutes,Casual Fun,4,,AI Recommendations,Voice Notes,Personality > Interests > Values,"Cooking, Movies",Classical,Movie Night in,Long-term
184,22,Non-binary,Delhi,Graduate,Full-time Job,OkCupid,Bumble,Weekly,30 minutes,Casual Fun,5,Safety Concerns,Video Calls,Voice Notes,Personality > Interests > Values,"Traveling, Photography",R&B,Travel Photography Class,Casual
185,23,Female,Kolkata,Undergraduate,Part-time Job,OkCupid,Bumble,Monthly,1.5 hours,Casual Dating,1,Time-Wasting,Audio Calls,Text,Values > Personality > Appearance,"Dancing, Crafting",EDM,Craft Party,Long-term
186,18,Non-binary,Kolkata,Graduate,Full-time Job,Hinge,,Weekly,1 hour,Casual Dating,2,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality,"Cooking, Fitness",Rock,Healthy Cooking Workshop,Casual
187,24,Female,Kolkata,Undergraduate,Full-time Job,OkCupid,Tinder,Monthly,30 minutes,Casual Dating,2,Safety Concerns,Location-Based Matching,Text,Values > Personality > Appearance,"Traveling, Sports",Pop,Outdoor Sports,Long-term
188,23,Male,Pune,Graduate,Intern,OkCupid,Tinder,Weekly,2 hours,Social Interaction,5,Lack of Genuine Matches,AI Recommendations,Video Calls,Appearance > Interests > Personality,"Photography, Gaming",Hip-Hop,Gaming Event,Casual
189,24,Male,Pune,Postgraduate,Freelancer,,OkCupid,Daily,2 hours,Casual Fun,1,Safety Concerns,Detailed Profiles,Text,Values > Personality > Appearance,"Reading, Traveling",Indie,Coffee Date,Long-term
190,20,Male,Delhi,Graduate,Full-time Job,Tinder,Hinge,Monthly,1.5 hours,Casual Dating,3,Safety Concerns,Video Calls,Voice Notes,Appearance > Interests > Personality,"Dancing, Movies",R&B,Musical Theater,Casual
191,25,Female,Hyderabad,Graduate,Part-time Job,Bumble,Tinder,Monthly,2 hours,Finding a Partner,5,Time-Wasting,AI Recommendations,Voice Notes,Values > Personality > Appearance,"Cooking, Fitness",Alternative,Fitness Cooking Class,Long-term
192,22,Male,Mumbai,Postgraduate,Student,Hinge,OkCupid,Monthly,2 hours,Casual Fun,5,Time-Wasting,AI Recommendations,Text,Values > Personality > Appearance,"Traveling, Art",Classical,Museum Gallery,Casual
193,24,Male,Chennai,Graduate,Part-time Job,,OkCupid,Monthly,30 minutes,Social Interaction,3,Time-Wasting,Video Calls,Text,Values > Personality > Appearance,"Gaming, Hiking",Country,Adventure Hiking,Long-term
194,24,Female,Hyderabad,Graduate,Freelancer,,Tinder,Daily,1 hour,Casual Fun,1,Safety Concerns,AI Recommendations,Text,Personality > Interests > Values,"Photography, Cooking",Pop,Food Tasting,Casual
195,18,Male,Mumbai,Undergraduate,Intern,OkCupid,,Weekly,1.5 hours,Social Interaction,1,Lack of Genuine Matches,Video Calls,Text,Values > Personality > Appearance,"Dancing, Sports",Indie,Sports Class,Long-term
196,25,Female,Pune,Postgraduate,Part-time Job,OkCupid,Hinge,Daily,1 hour,Finding a Partner,5,Time-Wasting,AI Recommendations,Voice Notes,Values > Personality > Appearance,"Traveling, Reading",EDM,Bookstore Visit,Casual
197,19,Female,Delhi,Undergraduate,Intern,OkCupid,Bumble,Weekly,2 hours,Finding a Partner,3,Time-Wasting,Audio Calls,Video Calls,Appearance > Interests > Personality,"Cooking, Photography",Jazz,Photography Walk,Long-term
198,20,Female,Hyderabad,Undergraduate,Full-time Job,Bumble,Bumble,Weekly,3 hours,Social Interaction,3,Time-Wasting,Video Calls,Voice Notes,Values > Personality > Appearance,"Fitness, Movies",Rock,Movie Marathon,Casual
199,23,Female,Delhi,Graduate,Intern,,Hinge,Monthly,2 hours,Finding a Partner,4,Safety Concerns,AI Recommendations,Video Calls,Appearance > Interests > Personality,"Traveling, Gaming",R&B,Game Night,Long-term
200,19,Female,Bangalore,Graduate,Student,Bumble,Bumble,Weekly,30 minutes,Casual Dating,2,Lack of Genuine Matches,Detailed Profiles,Video Calls,Values > Personality > Appearance,"Dancing, Crafting",Pop,Craft Night,Casual
201,21,Non-binary,Delhi,Graduate,Intern,OkCupid,Tinder,Weekly,1.5 hours,Social Interaction,1,Safety Concerns,Detailed Profiles,Text,Personality > Interests > Values,"Reading, Traveling",Indie,Coffee Shop,Long-term
202,20,Non-binary,Chennai,Graduate,Freelancer,Hinge,OkCupid,Weekly,3 hours,Finding a Partner,1,Safety Concerns,Detailed Profiles,Voice Notes,Appearance > Interests > Personality,"Movies, Sports",Pop,Movie Night,Casual
203,18,Male,Kolkata,Graduate,Intern,Bumble,Tinder,Weekly,30 minutes,Finding a Partner,2,Lack of Genuine Matches,Audio Calls,Text,Personality > Interests > Values,"Cooking, Gaming",Rock,Dinner at Home,Long-term
204,23,Non-binary,Chennai,Postgraduate,Full-time Job,Hinge,Tinder,Monthly,1.5 hours,Social Interaction,2,Time-Wasting,Location-Based Matching,Video Calls,Appearance > Interests > Personality,"Hiking, Music",Jazz,Picnic,Casual
205,18,Non-binary,Chennai,Postgraduate,Intern,,Bumble,Weekly,2 hours,Casual Dating,2,Lack of Genuine Matches,AI Recommendations,Text,Personality > Interests > Values,"Art, Photography",Classical,Art Gallery,Long-term
206,21,Male,Hyderabad,Undergraduate,Part-time Job,Bumble,Hinge,Weekly,1 hour,Casual Fun,4,Lack of Genuine Matches,Video Calls,Video Calls,Personality > Interests > Values,"Fitness, Traveling",Hip-Hop,Outdoor Adventure,Casual
207,20,Non-binary,Delhi,Postgraduate,Part-time Job,OkCupid,Bumble,Monthly,2 hours,Casual Dating,5,Time-Wasting,Audio Calls,Voice Notes,Appearance > Interests > Personality,"Reading, Writing",Alternative,Bookstore,Long-term
208,24,Female,Kolkata,Graduate,Student,Bumble,Bumble,Daily,2 hours,Casual Dating,5,Lack of Genuine Matches,Video Calls,Voice Notes,Appearance > Interests > Personality,"Sports, Music",Country,Concert,Casual
209,19,Female,Mumbai,Undergraduate,Freelancer,Hinge,,Monthly,1 hour,Casual Dating,1,Time-Wasting,Location-Based Matching,Video Calls,Personality > Interests > Values,"Traveling, Cooking",R&B,Beach Day,Long-term
210,24,Female,Mumbai,Undergraduate,Freelancer,Tinder,,Weekly,2 hours,Casual Dating,5,Time-Wasting,Location-Based Matching,Video Calls,Values > Personality > Appearance,"Hiking, Fitness",EDM,Amusement Park,Casual
211,24,Male,Bangalore,Undergraduate,Full-time Job,OkCupid,,Daily,3 hours,Social Interaction,2,,AI Recommendations,Video Calls,Personality > Interests > Values,"Dancing, Painting",Reggae,Wine Tasting,Long-term
212,19,Female,Kolkata,Postgraduate,Part-time Job,Hinge,Bumble,Weekly,2 hours,Social Interaction,5,Time-Wasting,Video Calls,Text,Values > Personality > Appearance,"Gaming, Coding",Metal,Escape Room,Casual
213,22,Female,Pune,Postgraduate,Student,Bumble,,Monthly,1 hour,Social Interaction,3,Time-Wasting,Location-Based Matching,Video Calls,Appearance > Interests > Personality,"Photography, Writing",Indie,Nature Walk,Long-term
214,19,Female,Mumbai,Graduate,Part-time Job,OkCupid,OkCupid,Daily,2 hours,Casual Dating,2,Time-Wasting,Audio Calls,Video Calls,Personality > Interests > Values,"Cooking, Sports",Pop,Cooking Class,Casual
215,23,Male,Delhi,Graduate,Full-time Job,,Bumble,Weekly,3 hours,Social Interaction,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Personality > Interests > Values,"Traveling, Yoga",Classical,Spa Day,Long-term
216,19,Male,Hyderabad,Undergraduate,Intern,,Tinder,Daily,30 minutes,Social Interaction,4,,Location-Based Matching,Video Calls,Personality > Interests > Values,"Reading, Hiking",Jazz,Botanical Garden,Casual
217,19,Female,Chennai,Undergraduate,Full-time Job,Hinge,Hinge,Daily,1 hour,Finding a Partner,2,Safety Concerns,Detailed Profiles,Video Calls,Personality > Interests > Values,"Music, Sports",EDM,Live Music,Long-term
218,21,Non-binary,Hyderabad,Undergraduate,Intern,Bumble,Bumble,Monthly,1.5 hours,Social Interaction,5,Safety Concerns,AI Recommendations,Voice Notes,Values > Personality > Appearance,"Fitness, Art",Rock,Art Exhibit,Casual
219,23,Male,Mumbai,Graduate,Student,Tinder,Bumble,Weekly,1.5 hours,Social Interaction,5,,Location-Based Matching,Video Calls,Personality > Interests > Values,"Traveling, Cooking",Hip-Hop,Food Festival,Long-term
220,22,Non-binary,Hyderabad,Graduate,Full-time Job,OkCupid,,Weekly,2 hours,Social Interaction,1,Lack of Genuine Matches,Video Calls,Video Calls,Personality > Interests > Values,"Gaming, Music",Alternative,Karaoke Night,Casual
221,19,Non-binary,Pune,Postgraduate,Intern,OkCupid,,Monthly,3 hours,Casual Dating,1,Lack of Genuine Matches,Location-Based Matching,Video Calls,Values > Personality > Appearance,"Reading, Fitness",Country,Picnic in the Park,Long-term
222,23,Female,Delhi,Undergraduate,Freelancer,OkCupid,Tinder,Monthly,1 hour,Social Interaction,3,Time-Wasting,AI Recommendations,Video Calls,Personality > Interests > Values,"Dancing, Traveling",Indie,Dance Class,Casual
223,18,Male,Bangalore,Undergraduate,Freelancer,OkCupid,,Daily,1.5 hours,Casual Fun,2,Safety Concerns,Location-Based Matching,Voice Notes,Values > Personality > Appearance,"Photography, Hiking",R&B,Photography Walk,Long-term
224,23,Female,Hyderabad,Postgraduate,Freelancer,Bumble,Tinder,Monthly,2 hours,Casual Fun,4,,Detailed Profiles,Video Calls,Personality > Interests > Values,"Cooking, Sports",Pop,Bowling Night,Casual
225,20,Female,Bangalore,Graduate,Freelancer,Bumble,,Weekly,2 hours,Casual Fun,3,Lack of Genuine Matches,Audio Calls,Text,Personality > Interests > Values,"Reading, Music",Jazz,Coffee Tasting,Long-term
226,23,Non-binary,Hyderabad,Undergraduate,Freelancer,OkCupid,Hinge,Daily,2 hours,Casual Fun,3,Lack of Genuine Matches,Audio Calls,Video Calls,Appearance > Interests > Personality,"Traveling, Crafting",Folk,Pottery Class,Casual
227,18,Female,Kolkata,Undergraduate,Full-time Job,,,Monthly,1 hour,Finding a Partner,2,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality > Interests > Values,"Gaming, Hiking",Indie,Rock Climbing,Long-term
228,23,Female,Pune,Undergraduate,Student,Hinge,Hinge,Monthly,1.5 hours,Casual Fun,3,,Video Calls,Voice Notes,Values > Personality > Appearance,"Photography, Cooking",Rock,Dinner Cruise,Casual
229,22,Male,Pune,Undergraduate,Student,Hinge,Bumble,Monthly,1.5 hours,Social Interaction,4,Safety Concerns,Location-Based Matching,Voice Notes,Personality > Interests > Values,"Fitness, Writing",Classical,Yoga Retreat,Long-term
230,20,Male,Bangalore,Undergraduate,Part-time Job,OkCupid,OkCupid,Weekly,1 hour,Casual Fun,4,,Audio Calls,Voice Notes,Personality > Interests > Values,"Dancing, Traveling",Pop,Dance Show,Casual
231,18,Female,Mumbai,Undergraduate,Full-time Job,Tinder,OkCupid,Monthly,2 hours,Casual Dating,1,,Location-Based Matching,Text,Personality > Interests > Values,"Cooking, Reading",R&B,Candlelit Dinner,Long-term
232,23,Non-binary,Mumbai,Postgraduate,Student,Bumble,Hinge,Weekly,30 minutes,Social Interaction,5,,Detailed Profiles,Video Calls,Values > Personality > Appearance,"Traveling, Sports",Country,Sports Game,Casual
233,25,Female,Mumbai,Undergraduate,Intern,Hinge,Tinder,Daily,30 minutes,Finding a Partner,3,Time-Wasting,AI Recommendations,Voice Notes,Values > Personality > Appearance,"Gaming, Music",EDM,Music Festival,Long-term
234,22,Non-binary,Chennai,Graduate,Freelancer,Tinder,Hinge,Monthly,30 minutes,Casual Dating,2,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Values > Personality > Appearance,"Photography, Fitness",Jazz,Fitness Class,Casual
235,22,Male,Chennai,Undergraduate,Part-time Job,Hinge,,Daily,2 hours,Social Interaction,3,Lack of Genuine Matches,Video Calls,Video Calls,Personality > Interests > Values,"Cooking, Hiking",Indie,Nature Cookout,Long-term
236,25,Non-binary,Hyderabad,Graduate,Full-time Job,Hinge,,Monthly,2 hours,Casual Fun,5,,Detailed Profiles,Voice Notes,Personality > Interests > Values,"Reading, Dancing",Alternative,Theater Show,Casual
237,23,Female,Mumbai,Postgraduate,Intern,Hinge,Tinder,Monthly,1.5 hours,Casual Dating,4,,Detailed Profiles,Voice Notes,Personality > Interests > Values,"Traveling, Art",Classical,Art Walk,Long-term
238,18,Non-binary,Bangalore,Graduate,Intern,Bumble,,Daily,3 hours,Casual Fun,3,,Detailed Profiles,Video Calls,Personality > Interests > Values,"Fitness, Movies",Pop,Outdoor Movie Night,Casual
239,23,Non-binary,Mumbai,Graduate,Intern,Hinge,Tinder,Daily,3 hours,Finding a Partner,2,Lack of Genuine Matches,Video Calls,Video Calls,Values > Personality > Appearance,"Hiking, Photography",R&B,Scenic Drive,Long-term
240,25,Female,Chennai,Graduate,Student,OkCupid,,Daily,2 hours,Social Interaction,2,Safety Concerns,AI Recommendations,Video Calls,Values > Personality > Appearance,"Gaming, Cooking",EDM,Game Night,Casual
241,20,Female,Mumbai,Postgraduate,Part-time Job,,Bumble,Daily,1.5 hours,Finding a Partner,3,Time-Wasting,Detailed Profiles,Voice Notes,Personality > Interests > Values,"Reading, Traveling",Indie,Coffee Tasting,Long-term
242,23,Non-binary,Chennai,Graduate,Intern,OkCupid,Bumble,Monthly,1.5 hours,Finding a Partner,2,Safety Concerns,Detailed Profiles,Video Calls,Values > Personality > Appearance,"Dancing, Sports",Pop,Dance Party,Casual
243,20,Non-binary,Hyderabad,Undergraduate,Part-time Job,,,Daily,1.5 hours,Social Interaction,5,Lack of Genuine Matches,Audio Calls,Text,Personality > Interests > Values,"Cooking, Fitness",Rock,Healthy Cooking Class,Long-term
